Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
EqByteString/ExMemory 8/ExMemory 32768,1.5841531725709781e-6,1.5243315942442826e-6,1.790201634439829e-6,3.228733163371281e-7,8.929304390203149e-8,6.635568715392212e-7
EqByteString/ExMemory 8/ExMemory 65536,1.4930007710761579e-6,1.4840114739141208e-6,1.5030801261640434e-6,3.050027352005633e-8,2.269875185270261e-8,3.7919589688809485e-8
EqByteString/ExMemory 8/ExMemory 131072,1.6130839247465422e-6,1.5511915356330372e-6,1.7998201322491752e-6,3.54302411954269e-7,1.1573759384982541e-7,7.226093154076773e-7
EqByteString/ExMemory 16/ExMemory 0,1.534738588215798e-6,1.4796914046302886e-6,1.7518477112543181e-6,3.4230941135188314e-7,6.050068606223749e-8,7.222311956354858e-7
EqByteString/ExMemory 16/ExMemory 0,1.487454988066731e-6,1.4765845773494555e-6,1.5130442786152033e-6,5.0324524792989144e-8,2.9375168819380952e-8,8.608409613915635e-8
EqByteString/ExMemory 16/ExMemory 1,1.5423003577214582e-6,1.4856610466120992e-6,1.7463814973729904e-6,3.345764916542916e-7,4.1687451674360374e-8,7.016376422099557e-7
EqByteString/ExMemory 16/ExMemory 2,1.5474675186133763e-6,1.492546078120142e-6,1.7404085572269097e-6,3.302740823878961e-7,6.30838706019677e-8,6.891223470485876e-7
EqByteString/ExMemory 16/ExMemory 4,1.4894609360971416e-6,1.4771033166794392e-6,1.5110122468165613e-6,5.104034549677002e-8,2.9175711865536832e-8,8.17862553623916e-8
EqByteString/ExMemory 16/ExMemory 8,1.5144044154199398e-6,1.4950184063326255e-6,1.5616628405796716e-6,8.365536736080963e-8,5.025100194883288e-8,1.2939264305567585e-7
EqByteString/ExMemory 16/ExMemory 16,1.5591776946115853e-6,1.5343213229916328e-6,1.5959940255295441e-6,9.675327669908914e-8,7.818371723626974e-8,1.1594233268777422e-7
EqByteString/ExMemory 16/ExMemory 32,1.6268771389434604e-6,1.5562560268451493e-6,1.826653335741798e-6,3.641841013356021e-7,1.2940800565446293e-7,6.702978304927919e-7
EqByteString/ExMemory 16/ExMemory 64,1.5183991855650852e-6,1.500875551054106e-6,1.5547229635948781e-6,7.953939863387784e-8,5.622678287110166e-8,1.2993430779390593e-7
EqByteString/ExMemory 16/ExMemory 128,1.5004589912575036e-6,1.4853797744488604e-6,1.5225583743306188e-6,5.623788955186267e-8,3.439194270475771e-8,8.103298838153758e-8
EqByteString/ExMemory 16/ExMemory 256,1.5284716918846316e-6,1.496486845737707e-6,1.6229369691183654e-6,1.696995972862481e-7,3.8099267556360904e-8,3.473910915581899e-7
EqByteString/ExMemory 16/ExMemory 512,1.4977938570205227e-6,1.4867410810001134e-6,1.5308759535351297e-6,5.501480610776258e-8,2.811878043139598e-8,1.1455911270036317e-7
EqByteString/ExMemory 16/ExMemory 1024,1.5337506812413635e-6,1.4859362150522878e-6,1.7240210625044842e-6,3.0475104739574074e-7,2.8253094880644808e-8,6.473609693962317e-7
EqByteString/ExMemory 16/ExMemory 2048,1.501629846106855e-6,1.4873336939702577e-6,1.5278747094612904e-6,6.960639159427142e-8,3.986482377007987e-8,1.1636364207359165e-7
EqByteString/ExMemory 16/ExMemory 4096,1.514985386462399e-6,1.499047184887753e-6,1.544046803185742e-6,7.900014500485276e-8,5.651131176942753e-8,1.1140593965545518e-7
EqByteString/ExMemory 16/ExMemory 8192,1.5852642888302409e-6,1.5224592558023807e-6,1.7449029883445197e-6,3.474392647351032e-7,9.251561052028024e-8,7.112228135266533e-7
EqByteString/ExMemory 16/ExMemory 16384,1.5052921650338242e-6,1.4912760241151061e-6,1.5532345083777494e-6,6.683377476033165e-8,3.469965477026662e-8,1.2896840232054233e-7
EqByteString/ExMemory 16/ExMemory 32768,1.5009162866964668e-6,1.4906125160626045e-6,1.5220405026760032e-6,4.645308732921419e-8,2.82405037852676e-8,7.269144483029553e-8
EqByteString/ExMemory 16/ExMemory 65536,1.5926530254348546e-6,1.544391121798712e-6,1.7785410241127483e-6,2.651278614343843e-7,1.1371603777046576e-7,5.214482682935922e-7
EqByteString/ExMemory 16/ExMemory 131072,1.5739933622538303e-6,1.5325779403997299e-6,1.6177162448271212e-6,1.4747059463728418e-7,1.191185095377366e-7,1.7655976084489055e-7
EqByteString/ExMemory 32/ExMemory 0,1.5700121519867105e-6,1.5136234507867718e-6,1.7604207607300503e-6,3.062486987471806e-7,9.349475185607582e-8,6.690050753055581e-7
EqByteString/ExMemory 32/ExMemory 0,1.5901417415451243e-6,1.548534861627454e-6,1.644778238319117e-6,1.5593324790590917e-7,1.3507808992806204e-7,1.7007762106102557e-7
EqByteString/ExMemory 32/ExMemory 1,1.4973926389517432e-6,1.4842318329258468e-6,1.5263632434804723e-6,6.479602170577305e-8,2.870390577220134e-8,1.1356078907911578e-7
EqByteString/ExMemory 32/ExMemory 2,1.567425393550606e-6,1.5107033738783084e-6,1.7942610599970857e-6,3.446610083256908e-7,8.194793789040908e-8,7.097524421140448e-7
EqByteString/ExMemory 32/ExMemory 4,1.49481100238233e-6,1.4807884366296524e-6,1.5250822920508046e-6,6.267393893673139e-8,3.110727760279359e-8,1.1204782308792396e-7
EqByteString/ExMemory 32/ExMemory 8,1.565806059567114e-6,1.5134115653052426e-6,1.764325044384096e-6,3.209603251276496e-7,9.773557963459447e-8,6.564870358802839e-7
EqByteString/ExMemory 32/ExMemory 16,1.494149597433652e-6,1.480506352103233e-6,1.5254670805822831e-6,6.403983350179559e-8,3.569696606546126e-8,1.1326190821076027e-7
EqByteString/ExMemory 32/ExMemory 32,1.5928263341722194e-6,1.5419304612706752e-6,1.7811011945030373e-6,2.9994103386628766e-7,9.407139559485327e-8,6.162405538435799e-7
